group,n_cases,n_checkpoints,gate_exclusion_rate,constraint_violation_rate,HC3_violation_rate,burst_activation_rate,mean_residual,residual_whiteness_p,notes,bootstrap_ci_low,bootstrap_ci_high,proportion_test_p_value,sample_size
standard_complex,111,333,0.4084,0.1912,0.033,0.1761,0.6999,0.3261,Moderate violation rates; primarily HC2-type constraint failures,0.32,0.5,0.08,111
deep_nesting_complex,33,99,0.4949,0.1837,0.0404,0.294,0.362,0.7615,Significantly higher violation rates; scope crossing and recursive structures dominate failures,0.35,0.63,0.03,33
non_complex,225,533,0.1614,0.3023,0.0169,0.1721,0.2788,0.184,Low baseline violation rates; standard pattern dominance,0.12,0.2,0.15,225
